species_name;species_code;date;species_detectability
Euphorbia_peplis;EUPPEP1;31/07/2020;1
Plantago_lanceolata;PLALAN;07/10/2020;1
Calendula_arvensis;CALARV1;09/10/2020;2
Allium_sp;ALLsp;16/10/2020;2
Calendula_arvensis;CALARV2;20/10/2020;2
Sanguisorba_minor;SANMIN;28/10/2020;2
Allium_chamaemoly;ALLCHA;05/02/2021;1
Euphorbia_helioscopia;EUPHEL;04/03/2021;3
Erodium_cicutarium;EROCIC;18/03/2021;1
Chrysosplenium_alternifolium;CHRALT;13/04/2021;2
Fagus_sylvatica;FAGSYL;14/04/2021;1
Hieracium_sp;HIEsp;15/04/2021;2
Bromus_rubens;BRORUB;16/04/2021;1
Plantago_coronopus;PLACOR;20/04/2021;1
Sherardia_arvensis;SHEARV;23/04/2021;1
Mentha_suaveolens;MENSUA;05/05/2021;4
Scabiosa_atropurpurea;SCAATR;06/05/2021;2
Ornitogalum_angustifolium;ORNANG;11/05/2021;3
Evax_pygmaea;EVAPYG;18/05/2021;1
Ophrys_lutea;OPHLUT;19/05/2021;2
Carex_flacca;CARFLA;26/05/2021;1
Anacamptis_pyramidalis;ANAPYR;27/05/2021;4
Rumex_acetosella;RUMACE;07/06/2021;2
Equisetum_telmateia;EQUTEL;11/06/2021;4
Linaria_vulgaris;LINVUL;15/06/2021;3
Melampyrum_arvense;MELARV;16/06/2021;3
Veronica_chamaedrys;VERCHA;17/06/2021;3
Limonium_narbonense;LIMNAR;25/06/2021;3
Erigeron_annuus;ERIANN;28/06/2021;4
Ambrosia_artemisiifolia;AMBART;07/07/2021;2
Limonium_girardianum;LIMGIR;28/07/2021;1
Euphorbia_peplis;EUPPEP2;29/07/2021;1
Epipogium_aphyllum;EPIAPH;06/08/2021;2
